NumCuts	138
VideoIndex	TotalFrames	CutInit	CutEnd
0	20000	0	1369
0	20000	1370	2960
0	20000	2961	3801
0	20000	3802	3971
1	20000	35	812
1	20000	813	2013
1	20000	2014	3896
1	20000	3897	6217
1	20000	6218	6962
1	20000	6963	7742
1	20000	7743	10282
1	20000	10283	12093
2	20000	0	1025
2	20000	1026	4170
2	20000	4171	4831
2	20000	4832	6146
3	20000	0	507
3	20000	508	1165
3	20000	1166	1677
3	20000	1678	3913
3	20000	3914	4931
3	20000	4932	5712
3	20000	5713	6542
3	20000	6543	8083
3	20000	8084	10145
3	20000	10146	12137
3	20000	12138	13688
3	20000	13689	15755
3	20000	15756	16916
3	20000	16917	17293
3	20000	17294	17892
3	20000	17893	18292
4	20000	0	226
4	20000	227	868
4	20000	869	1148
4	20000	1149	1944
4	20000	1945	2512
4	20000	2513	3159
5	20000	0	1332
5	20000	1333	3256
5	20000	3257	3689
5	20000	3690	5229
5	20000	5230	5820
5	20000	5821	6928
5	20000	6929	7893
5	20000	7894	10374
6	20000	0	963
6	20000	964	3599
6	20000	3600	4066
6	20000	4067	4999
6	20000	5000	6130
6	20000	6131	8196
6	20000	8197	8545
6	20000	8546	9492
6	20000	9493	11119
6	20000	11120	13293
6	20000	13294	14216
7	20000	0	413
7	20000	414	2273
7	20000	2274	3135
7	20000	3136	4170
7	20000	4171	5121
8	20000	0	1395
8	20000	1396	2390
8	20000	2391	2993
8	20000	2994	3814
8	20000	3815	4201
9	20000	0	1618
9	20000	1619	2571
9	20000	2572	3727
9	20000	3728	4002
9	20000	4003	4483
9	20000	4484	5122
9	20000	5123	5586
9	20000	5587	6326
9	20000	6327	7627
9	20000	7628	9291
9	20000	9292	10186
9	20000	10187	12442
9	20000	12443	13718
10	20000	0	366
10	20000	367	1398
10	20000	1399	2509
10	20000	2510	3044
10	20000	3045	3870
10	20000	3871	4465
10	20000	4466	6610
10	20000	6611	6794
10	20000	6795	7848
10	20000	7849	8032
10	20000	8033	8381
10	20000	8382	9286
10	20000	9287	11436
10	20000	11437	12871
10	20000	12872	13999
10	20000	14000	14726
10	20000	14727	15164
10	20000	15165	17928
10	20000	17929	18414
10	20000	18415	19801
10	20000	19802	20294
11	20000	0	4682
12	20000	0	2412
12	20000	2413	5589
12	20000	5590	7948
12	20000	7949	11046
12	20000	11047	15139
12	20000	15140	17235
12	20000	15236	23130
12	20000	23131	25781
12	20000	25782	28923
12	20000	28924	31626
12	20000	31627	36567
12	20000	36568	37838
12	20000	37839	40912
12	20000	40913	43862
12	20000	43863	44575
12	20000	44576	45864
12	20000	45865	47245
12	20000	47246	48278
12	20000	48279	51004
12	20000	51005	52260
12	20000	52261	52751
12	20000	52752	53124
12	20000	53125	56604
12	20000	56605	64284
12	20000	64285	67735
12	20000	67736	72826
12	20000	72827	79914
12	20000	79915	85503
12	20000	85504	93231
12	20000	93232	100736
12	20000	100737	111458
12	20000	111459	118522
12	20000	118523	124667
12	20000	124668	131441
12	20000	131442	142492
12	20000	142493	149836
13	20000	0	3073
