FramesTotal	149840
NumCuts	36
CutEnds	Energy01	Energy02	Energy03
2412	.8	.7	.5
5589	.9	.4	.5
7948	.6	.3	.5
11046	.4	.3	.5
15139	.8	.6	.5
17235	.2	.8	.5
23130	.7	.7	.5
25781	.8	.4	.5
28923	.7	.8	.5
31626	.9	.4	.5
36567	.5	.2	.5
37838	.4	.3	.5
40912	.3	.2	.5
43862	.3	.4	.5
44575	.6	.7	.5
45864	.5	.7	.5
47245	.2	.4	.5
48278	.2	.4	.5
51004	.3	.2	.5
52260	.6	.8	.5
52751	.7	.7	.5
53124	.4	.5	.5
56604	.6	.7	.5
64284	.7	.8	.5
67735	.6	.4	.5
72826	.4	.7	.5
79914	.2	.4	.5
85503	.3	.5	.5
93231	.5	.4	.5
100736	.6	.7	.5
111458	.7	.4	.5
118522	.3	.2	.5
124667	.8	.1	.5
131441	.7	.4	.5
142492	.5	.7	.5
149836	.3	.7	.5
